,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
0,nanihaal,9/22/25,Jaipur,malviya nagar,1386095,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
1,nanihaal,9/22/25,Gurgaon,old gurgaon (zone 6),1389006,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
2,nanihaal,9/22/25,Delhi,burari,1402053,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
3,nanihaal,9/22/25,Noida,crossing republic,1389634,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,2,136
4,nanihaal,9/22/25,Gurgaon,palam vihar,1384513,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,210,1,210
5,nanihaal,9/22/25,Delhi,ashok vihar,816651,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,210,1,210
6,nanihaal,9/22/25,Lucknow,ashiyana,1401262,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
7,nanihaal,9/22/25,Noida 1,sector 50,1390227,"masala, pickle and papad",whole spices,mustard seeds,nanihaal black kaali rai,100 g,476460,No,,,48,1,48
8,nanihaal,9/22/25,Delhi,kirti nagar,1261842,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
9,nanihaal,9/22/25,Gurgaon,jalvayu towers,1403213,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
10,nanihaal,9/22/25,Gurgaon,old gurgaon (zone 6),1382659,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
11,nanihaal,9/22/25,Gurgaon,huda city,1298919,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
12,nanihaal,9/22/25,Jaipur,pratap nagar,1395724,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
13,nanihaal,9/22/25,Moradabad,budh bazar,1401290,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
14,nanihaal,9/22/25,Noida 1,golf course,406773,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,2,270
15,nanihaal,9/22/25,Lucknow,gomti nagar,1402783,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
16,nanihaal,9/22/25,Noida 1,sector 50,1400556,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
17,nanihaal,9/22/25,Delhi,kakrola,1402457,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
18,nanihaal,9/22/25,Noida 1,sector 18,1386943,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
19,nanihaal,9/22/25,Delhi,rajouri garden,1386535,"masala, pickle and papad",whole spices,saunf,nanihaal moti saunf,100 g,129595,No,,,105,1,105
20,nanihaal,9/22/25,Noida,crossing republic,1404587,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
21,nanihaal,9/22/25,Noida 1,greater noida,1402463,"masala, pickle and papad",whole spices,garam masala,nanihaal garam masala,100 g,324671,No,,,190,1,190
22,nanihaal,9/22/25,Lucknow,aliganj,1339714,"masala, pickle and papad",whole spices,ajwain,nanihaal ajwain,100 g,903650,No,,,70,1,70
23,nanihaal,9/22/25,Delhi,chattarpur,1394450,"masala, pickle and papad",whole spices,ajwain,nanihaal ajwain,100 g,903650,No,,,66,1,66
24,nanihaal,9/22/25,Guwahati,ganeshguri,1402803,"masala, pickle and papad",whole spices,garam masala,nanihaal garam masala,100 g,324671,No,,,190,1,190
25,nanihaal,9/22/25,Pune,wagholi,1403036,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
26,nanihaal,9/22/25,Noida 1,sector 50,1390227,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
27,nanihaal,9/22/25,Jaipur,vidhyadhar nagar,1399803,"masala, pickle and papad",whole spices,cinnamon,nanihaal dal cheeni,50 g,573571,No,,,75,1,75
28,nanihaal,9/22/25,Bhubaneswar,khandagiri,1401466,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,55,1,55
29,nanihaal,9/22/25,Gurgaon,jalvayu towers,1402057,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
30,nanihaal,9/22/25,Pune,kondhwa,1388314,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
31,nanihaal,9/22/25,Delhi,mayur vihar,1099458,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,210,1,210
32,nanihaal,9/22/25,Ahmedabad,navrangpura,1403829,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,2,136
33,nanihaal,9/22/25,Bhubaneswar,old bbsr,1404444,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
34,nanihaal,9/22/25,Faridabad,sector 79,1391900,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
35,nanihaal,9/22/25,Mumbai,panvel,1400977,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
36,nanihaal,9/22/25,Jaipur,manasarovar,1400970,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
37,nanihaal,9/22/25,Delhi,new lajpat nagar,1387704,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
38,nanihaal,9/22/25,Delhi,laxmi nagar,1403206,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
39,nanihaal,9/22/25,Noida 1,sector 18,1395430,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
40,nanihaal,9/22/25,Chandigarh,west chd,1403976,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
41,nanihaal,9/22/25,Bhubaneswar,old bbsr,1404444,"masala, pickle and papad",whole spices,jeera,nanihaal jeera,200 g,655718,No,,,170,1,170
42,nanihaal,9/22/25,Delhi,chattarpur,1394450,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
43,nanihaal,9/22/25,Noida 1,golf course,1384147,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
44,nanihaal,9/22/25,Faridabad,nit,1393826,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
45,nanihaal,9/22/25,Jaipur,jagatpura,1402259,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
46,nanihaal,9/22/25,Noida,raj nagar,1394453,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
47,nanihaal,9/22/25,Noida,crossing republic,1401661,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,2,430
48,nanihaal,9/22/25,Gurgaon,sohna road,1389633,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
49,nanihaal,9/22/25,Noida,crossing republic,1404167,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
50,nanihaal,9/22/25,Gurgaon,imt manesar,1387568,"masala, pickle and papad",whole spices,elaichi,nanihaal moti elaichi,50 g,642095,No,,,255,2,510
51,nanihaal,9/22/25,Noida 1,sector 50,1390227,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
52,nanihaal,9/22/25,Delhi,hauz khas,1404584,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
53,nanihaal,9/22/25,Noida,raj nagar,1387080,"masala, pickle and papad",whole spices,ajwain,nanihaal ajwain,100 g,903650,No,,,70,1,70
54,nanihaal,9/22/25,Lucknow,chowk,1402782,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
55,nanihaal,9/22/25,Guwahati,beltola,1402469,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
56,nanihaal,9/22/25,Delhi,mayur vihar,1404576,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,213,2,425
57,nanihaal,9/22/25,Delhi,hauz khas,1404584,"masala, pickle and papad",whole spices,mustard seeds,nanihaal black kaali rai,100 g,476460,No,,,48,1,48
58,nanihaal,9/22/25,Delhi,karol bagh,1403207,"masala, pickle and papad",whole spices,garam masala,nanihaal garam masala,100 g,324671,No,,,190,1,190
59,nanihaal,9/22/25,Gurgaon,dlf phase 4,1401254,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
60,nanihaal,9/22/25,Jaipur,sindhi camp,1382290,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
61,nanihaal,9/22/25,Noida,raj nagar,1387080,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
62,nanihaal,9/22/25,Gurgaon,dlf phase 4,762551,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
